CustomerID,Age,Gender,PurchaseAmount,PurchaseFrequency,ProductQualityRating,DeliveryTimeRating,CustomerServiceRating,WebsiteEaseOfUseRating,ReturnRate,DiscountUsage,LoyaltyProgramMember
1,38,Female,749.0976255706341,24,2,1,3,5,0.12,135.39257325719885,No
2,30,Male,735.2249156163376,18,5,4,4,5,0.37,193.45066319022902,Yes
3,55,Male,1145.5203051182527,22,3,5,4,1,0.1,147.24626283427693,Yes
4,39,Female,925.460535143426,14,4,3,2,4,0.38,56.362894229805114,Yes
5,51,Male,108.35991620309096,9,3,3,2,5,0.42,338.73105537073496,No
6,51,Male,240.1873358921406,17,2,2,5,3,0.31,34.2653164563545,Yes
7,61,Male,553.2424738518187,24,4,2,5,1,0.01,393.15222022625494,Yes
8,28,Male,1216.0233491720421,11,1,1,4,2,0.21,419.1943659205301,Yes
9,34,Female,1964.1919003852256,9,5,4,3,4,0.24,278.2496752380593,No
10,29,Male,1333.3842511470002,27,5,4,5,1,0.41,52.735509973854235,No
11,47,Female,1500.1641369541767,3,3,2,4,3,0.46,387.68471754044674,Yes
12,58,Male,1456.069880423472,6,2,3,2,3,0.34,135.72154868579406,No
13,19,Male,85.00459696557948,17,2,5,5,3,0.12,101.5821940307915,No
14,41,Male,1370.1677637187088,6,3,3,5,5,0.33,490.8467773481094,No
15,41,Male,1115.3367939285915,6,3,2,1,2,0.05,346.39966389762935,Yes
16,40,Male,1530.6742081549398,29,2,3,5,3,0.35,396.06664143134134,No
17,57,Male,1379.1232731869572,25,5,3,5,5,0.34,375.81972439730146,No
18,51,Male,1110.225249558582,22,2,4,1,1,0.04,460.2327836838683,No
19,35,Male,1752.4126051752894,6,4,2,4,2,0.09,488.62686288601265,Yes
20,43,Female,544.4544264127305,15,4,1,5,1,0.44,494.64984202158263,No
21,59,Female,197.58367859031276,27,5,3,3,1,0.43,246.29862291063463,Yes
22,42,Female,1816.7936434739936,4,5,2,5,4,0.47,455.90487908189203,Yes
23,61,Male,1999.6559676315965,3,3,4,3,3,0.31,362.5380883896418,Yes
24,38,Female,1006.3647876690354,2,3,2,4,3,0.41,123.60537443251646,Yes
25,66,Male,1440.1946254229476,5,5,2,4,1,0.42,252.23366930599224,Yes
26,66,Female,1246.5443249924108,20,3,3,3,2,0.07,125.07273724744545,No
27,49,Male,1187.1497028956908,20,1,3,5,1,0.44,355.1456463841987,No
28,44,Male,1440.2735914262214,7,4,2,1,1,0.23,299.221802293813,No
29,35,Female,1243.786750503081,8,4,2,3,1,0.11,350.98307770997036,Yes
30,30,Male,1990.529385724516,13,1,1,2,2,0.13,280.39327450643896,No
31,56,Male,1760.1515876878502,22,1,4,4,2,0.09,294.890418528837,Yes
32,30,Female,672.5725589232351,2,3,1,4,1,0.11,244.0361085996966,Yes
33,24,Male,1394.5493851552776,23,3,5,2,1,0.26,347.62981249453674,Yes
34,57,Male,1764.7604128053854,3,4,4,3,4,0.1,293.9852177829266,No
35,36,Male,1049.73818029218,8,2,5,2,5,0.1,155.12929822382344,No
36,65,Male,969.7279805480954,11,1,5,2,1,0.02,301.7562923733794,Yes
37,55,Male,307.08385821862487,5,5,4,4,3,0.39,365.70172956871284,Yes
38,19,Male,428.24323743840455,5,2,5,5,2,0.11,251.85664002225096,No
